Date,Min Price,Max Price,Price
2021-11-24,140.0,150.0,145.0
2021-11-25,139.06650504391905,150.7206995821019,144.8936023130105
2021-11-26,140.0,150.0,145.0
2021-11-27,140.0,155.0,147.5
2021-11-28,140.0,150.0,145.0
2021-11-29,140.2388610769208,150.0904196649232,145.164640370922
2021-11-30,140.0,150.0,145.0
2021-12-01,140.0,150.0,145.0
2021-12-02,140.0,150.0,145.0
2021-12-03,145.0,155.0,150.0
2021-12-04,145.0,150.0,147.5
2021-12-05,140.0,150.0,145.0
2021-12-06,138.93896472638468,150.73967678118834,144.83932075378652
2021-12-07,140.85540317509262,153.00853380969062,146.9319684923916
2021-12-08,144.65676519081774,155.95698851780668,150.3068768543122
2021-12-09,150.0,160.0,155.0
2021-12-10,150.0,160.0,155.0
2021-12-11,151.34729562554736,160.87084544098238,156.10907053326486
2021-12-12,150.0,160.0,155.0
2021-12-13,150.0,160.0,155.0
2021-12-14,148.77745508167015,160.26731077372156,154.52238292769584
2021-12-15,147.81697425750144,160.25882229335946,154.03789827543045
2021-12-16,147.5335453569177,160.87040458609542,154.20197497150656
2021-12-17,150.0,165.0,157.5
2021-12-18,150.0,165.0,157.5
2021-12-19,160.0,180.0,170.0
2021-12-20,160.0,180.0,170.0
2021-12-21,160.17532255244197,174.73187916347942,167.45360085796068
2021-12-22,160.0,170.0,165.0
2021-12-23,159.16574973857894,168.85464173327776,164.01019573592833
2021-12-24,160.0,170.0,165.0
2021-12-25,164.62778947753424,174.06076504217106,169.34427725985265
2021-12-26,170.0,180.0,175.0
2021-12-27,170.0,180.0,175.0
2021-12-28,169.93309387042171,178.98070297308303,174.45689842175238
2021-12-29,170.0,180.0,175.0
2021-12-30,174.07698287206475,189.13953717667252,181.60826002436863
2021-12-31,180.0,200.0,190.0
2022-01-01,183.45258346535024,203.93149885179525,193.69204115857275
2022-01-02,180.0,200.0,190.0
2022-01-03,170.0,190.0,180.0
2022-01-04,170.0,180.0,175.0
2022-01-05,171.05749616704472,176.04271470226388,173.5501054346543
2022-01-06,171.03602760687104,177.4014773300647,174.21875246846787
2022-01-07,170.0,180.0,175.0
2022-01-08,168.4248485973076,181.61920000830492,175.02202430280624
2022-01-09,166.38410331519964,181.3473600890268,173.86573170211324
2022-01-10,164.2192309597287,179.943980664687,172.08160581220784
2022-01-11,162.20471411453562,177.92413009798472,170.06442210626017
2022-01-12,160.6150353632613,175.8028767516193,168.2089560574403
2022-01-13,160.0,175.0,167.5
2022-01-14,159.67886678426595,173.14176404600252,166.41031541513422
2022-01-15,160.10580796722576,172.58401466398848,166.34491131560713
2022-01-16,160.0,170.0,165.0
2022-01-17,160.0,170.0,165.0
2022-01-18,160.0,170.0,165.0
2022-01-19,156.77144316057786,164.05403867061867,160.41274091559825
2022-01-20,153.80606445848343,160.2978267963738,157.0519456274286
2022-01-21,151.32374846654199,158.56884386391224,154.94629616522712
2022-01-22,150.0,160.0,155.0
2022-01-23,150.8322524500873,166.76663422467402,158.79944333738067
2022-01-24,150.0,170.0,160.0
2022-01-25,140.0,160.0,150.0
2022-01-26,140.0,160.0,150.0
2022-01-27,140.0,160.0,150.0
2022-01-28,140.0,160.0,150.0
2022-01-29,140.0,160.0,150.0
2022-01-30,140.0,160.0,150.0
2022-01-31,139.44354412582985,155.99541325565966,147.71947869074475
2022-02-01,139.0093965051524,152.95893752722858,145.9841670161905
2022-02-02,140.0,150.0,145.0
2022-02-03,140.0,150.0,145.0
2022-02-04,145.0,150.0,147.5
2022-02-05,145.0,150.0,147.5
